citizen_number,maphia_number,probability
4,1,45.338
4,2,17.351
4,3,7.141
5,1,47.668
5,2,24.579
5,3,9.414
5,4,3.764
6,1,52.981
6,2,27.102
6,3,14.148
6,4,5.409
6,5,2.049
7,1,54.875
7,2,31.455
7,3,16.381
7,4,8.776
7,5,5.455
8,1,57.503
8,2,33.014
8,3,19.777
8,4,10.312
8,5,5.443
9,1,58.878
9,2,36.332
9,3,21.234
9,4,12.742
9,5,6.665
10,1,60.883
10,2,37.288
10,3,25.039
10,4,14.398
10,5,8.566
11,1,62.0655
12,1,63.2441
13,1,63.6254
14,1,64.7199
15,1,65.2863
16,1,66.1832
17,1,66.5285
18,1,67.5149
19,1,68.0421
20,1,68.1113
11,2,39.6213
12,2,40.3948
13,2,42.0742
14,2,43.2944
15,2,44.3949
16,2,45.2033
17,2,45.9242
18,2,46.8149
19,2,47.6355
20,2,48.0054
11,3,25.0512
12,3,26.9143
13,3,28.1077
14,3,29.5839
15,3,30.5253
16,3,31.8134
17,3,32.4912
18,3,33.4723
19,3,34.3459
20,3,35.1136
11,4,16.3284
12,4,17.4645
13,4,19.1454
14,4,20.2378
15,4,21.6247
16,4,22.6713
17,4,23.4592
18,4,24.4958
19,4,25.2068
20,4,25.9012
11,5,9.9238
12,5,11.3634
13,5,12.6162
14,5,14.0412
15,5,14.9498
16,5,16.1134
17,5,17.2221
18,5,17.9515
19,5,18.6813
20,5,19.7079
